DimSegmentId,botRuleName,reportToIgnore
s3938_69720d1dd666c66937e7315a,BOTCOMPARE_AdHocOddspediaDec25RoundFive_01OddspediacomMonitorResolution=1280x1200,MonitorResolution
s3938_69720d1e71b7381b8d9a3b05,BOTCOMPARE_AdHocOddspediaDec25RoundFive_02OddspediacomMonitorResolution=1280x1366,MonitorResolution
s3938_69720d2971b7381b8d9a3b0a,BOTCOMPARE_AdHocOddspediaDec25RoundFive_03LegendDomain=westdatacenternet,Domain
s3938_69720d2a71b7381b8d9a3b0b,BOTCOMPARE_AdHocOddspediaDec25RoundFive_04LegendMonitorResolution=1280x1366,MonitorResolution
s3938_69720d2bd666c66937e7315e,BOTCOMPARE_AdHocOddspediaDec25RoundFive_05OddspediacomRegion=Sibiu(Romania),Region
s3938_69720d2fd666c66937e7315f,BOTCOMPARE_AdHocOddspediaDec25RoundFive_06LegendMonitorResolution=360x667ANDMarketingChannel=Internal,MonitorResolution
s3938_69720d3071b7381b8d9a3b0c,BOTCOMPARE_AdHocOddspediaDec25RoundFive_07LegendMonitorResolution=390x736ANDMarketingChannel=Internal,MonitorResolution
s3938_69720d300bd61948cd65028c,BOTCOMPARE_AdHocOddspediaDec25RoundFive_08LegendMonitorResolution=400x600ANDMarketingChannel=Internal,MonitorResolution
s3938_69720d3171b7381b8d9a3b0d,BOTCOMPARE_AdHocOddspediaDec25RoundFive_09LegendMonitorResolution=432x667ANDMarketingChannel=Internal,MonitorResolution
s3938_69720d33d666c66937e73162,BOTCOMPARE_AdHocOddspediaDec25RoundFive_12LegendUserAgentANDMarketingChannel=Internal,UserAgent
s3938_69720d3471b7381b8d9a3b0e,BOTCOMPARE_AdHocOddspediaDec25RoundFive_13MarcadoresOnlinecomDomain=85avateles,Domain
s3938_69720d350bd61948cd65028d,BOTCOMPARE_AdHocOddspediaDec25RoundFive_14GuruMainDomain=drakonhostcom,Domain
s3938_69720d3871b7381b8d9a3b0f,BOTCOMPARE_AdHocOddspediaDec25RoundFive_15LegendOperatingSystem=OSX10121,OperatingSystem
s3938_69720d390bd61948cd65028e,BOTCOMPARE_AdHocOddspediaDec25RoundFive_16LegendOperatingSystem=OSX10145,OperatingSystem
s3938_69720d3f71b7381b8d9a3b11,BOTCOMPARE_AdHocOddspediaDec25RoundFive_18LegendDomain=fastplanetcom,Domain
s3938_69720d4071b7381b8d9a3b12,BOTCOMPARE_AdHocOddspediaDec25RoundFive_19LegendDomain=hostingtelephonecom,Domain
s3938_69720d4171b7381b8d9a3b13,BOTCOMPARE_AdHocOddspediaDec25RoundFive_20LegendDomain=netassistua,Domain
s3938_69720d4671b7381b8d9a3b16,BOTCOMPARE_AdHocOddspediaDec25RoundFive_21LegendOperatingSystem=macOS130,OperatingSystem
