DimSegmentId,botRuleName,reportToIgnore
s3938_695e4409d666c66937e6daad,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_01OddspediacomDomain=tencentcom,Domain
s3938_695e440bdd204131a3743434,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_02OddspediacomDomain=invermaecom,Domain
s3938_695e440cdd204131a3743435,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_03OddspediacomDomain=xcityua,Domain
s3938_695e440ed666c66937e6daae,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_04OddspediacomDomain=zappiehostcom,Domain
s3938_695e4410d666c66937e6dab0,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_05OddspediacomDomain=hostedbyworldstreamnet,Domain
s3938_695e4414dd204131a3743437,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_06OddspediacomUserAgentANDRegion=Vaud(Switzerland),UserAgent
s3938_695e441549400d7802c8aa48,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_07OddspediacomUserAgentANDRegion=Zurich(Switzerland),UserAgent
s3938_695e441549400d7802c8aa49,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_08OddspediacomDomain=telemachba,Domain
s3938_695e441add204131a3743439,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_09OddspediacomUserAgentANDDomain=rdsnetro,UserAgent
s3938_695e441ad666c66937e6dab2,BOTCOMPARE_AdHocOddspediaDec25RoundTwo_10OddspediacomUserAgentANDMonitorResolution=3200x1440,UserAgent
