dimSegmentId, botRuleName
s3938_67bf3571a715d327951f8e83, 0073-Bot-Rule-OnlineGamblingca-User-Agent
s3938_67bf35f9ebdbae138cb4fb44, 0076-Bot-Rule-OnlineGamblingca-User-Agent
s3938_67bf362fa715d327951f8e87, 0077-Bot-Rule-OnlineGamblingca-User-Agent
s3938_67bf368b19f210401ae4f53f, 0078-Bot-Rule-Apuestasdeportivascom-Domain-onocom-AND-Browser-Type-Opera
s3938_67bf36d9a715d327951f8e8d, 0080-Bot-Rule-Oddspediacom-User-Agent
s3938_67bf377ea715d327951f8e90, 0082-Bot-Rule-coverscom-User-Agent
s3938_67bf386233dfa766943adb2e, 0085-Bot-Rule-SportsBookReviewcom-User-Agent
s3938_67bf38a9b545496633c70c5a, 0086-Bot-Rule-SportsBookReviewcom-Domain-fullcontrolnet
s3938_67bf394019f210401ae4f559, 0087-Bot-Rule-SportsBookReviewcom-User-Agent
s3938_67bf3a6419f210401ae4f569, 0091-Bot-Rule-Casinoorg-User-Agent
s3938_67bf3bbf33dfa766943adb4d, 0095-Bot-Rule-OnlineGamblingcom-Domain-stwbackupnet
s3938_67efa7a1ee7d084c447c3682, 0097-Bot-Rule-Casinoorg-User-Agent
s3938_6863f04bfeff97c4e3c73d84, 0098-Bot-Rule-SBR-Domain-AliBabaGroup
s3938_6893728a86d1950450d39efe, 0100-Bot-Rule-CORG-CA-BINGAUG25
s3938_689377f721afb20b4ace4806, 0101-Bot-Rule-Domain-AventiceCom
















