DimSegmentId,botRuleName,reportToIgnore
s3938_69720d1c0bd61948cd650288,0195BOTRULEOddspediacomDomain-hwcloudsdnscomANDBrowserType-Mozilla,Domain
s3938_69720d1f71b7381b8d9a3b06,0196BOTRULEOddspediacomDomain-hwcloudsdnscomANDOperatingSystem-Linux,Domain
s3938_69720d20d666c66937e7315b,0197BOTRULELegendDomain-amazonawscomcn,Domain
s3938_69720d200bd61948cd650289,0198BOTRULELegendDomain-clinicaoncocom,Domain
s3938_69720d2171b7381b8d9a3b07,0199BOTRULELegendDomain-explorationinsuranceorguk,Domain
s3938_69720d22d666c66937e7315c,0200BOTRULELegendDomain-huaweicom,Domain
s3938_69720d2371b7381b8d9a3b08,0201BOTRULELegendDomain-ipxfernet,Domain
s3938_69720d23d666c66937e7315d,0202BOTRULELegendDomain-relcomcom,Domain
s3938_69720d2871b7381b8d9a3b09,0203BOTRULELegendDomain-smhrocks,Domain
s3938_69720d280bd61948cd65028a,0204BOTRULELegendDomain-thacdev,Domain
s3938_69720d2e0bd61948cd65028b,0205BOTRULELegendDomain-hubflakero,Domain
s3938_69720d3b0bd61948cd65028f,0206BOTRULEMarcadoresOnlinecomUserAgent,UserAgent
s3938_69720d3b0bd61948cd650290,0207BOTRULEOddspediacomPageURL-httpsoddspediacomitblockedoddsANDMonitorResolution-1366x768,PageURL
s3938_69720d3c71b7381b8d9a3b10,0208BOTRULELegendUserAgent,UserAgent
s3938_69720d4271b7381b8d9a3b14,0209BOTRULELegendReferringDomain-bingcomANDMonitorResolution-768x360,Referring Domain
s3938_69720d4271b7381b8d9a3b15,0210BOTRULELegendReferringDomain-bingcomANDMonitorResolution-800x390,Referring Domain
