"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Validate","0174 BOT RULE: Oddspediacom - Domain = angolatelecomao AND MonitorResolution = 600 x 800","Oddspediacom","Domain","angolatelecom.ao","MonitorResolution","600 x 800"
"Validate","0175 BOT RULE: Oddspediacom - Domain = angolatelecomao AND OperatingSystem = iOS 166","Oddspediacom","Domain","angolatelecom.ao","OperatingSystem","iOS 16.6"
"Validate","0176 BOT RULE: Oddspediacom - Domain = angolatelecomao AND OperatingSystem = OS X 10120","Oddspediacom","Domain","angolatelecom.ao","OperatingSystem","OS X 10.12.0"
"Validate","0177 BOT RULE: Oddspediacom - Domain = angolatelecomao AND OperatingSystem = OS X 10130","Oddspediacom","Domain","angolatelecom.ao","OperatingSystem","OS X 10.13.0"
"Validate","0178 BOT RULE: Oddspediacom - Domain = angolatelecomao AND OperatingSystem = OS X 10140","Oddspediacom","Domain","angolatelecom.ao","OperatingSystem","OS X 10.14.0"
"Validate","0179 BOT RULE: Oddspediacom - MonitorResolution = 3200x1728 AND UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/139000 Safari/53736","Oddspediacom","MonitorResolution","3200x1728","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
"Validate","0180 BOT RULE: Oddspediacom - MonitorResolution = 3200x1728 AND UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/134000 Safari/53736","Oddspediacom","MonitorResolution","3200x1728","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_01: Oddspediacom - Domain = tencentcom","Oddspediacom","Domain","tencent.com","",""
"Validate","0181 BOT RULE: Oddspediacom - MonitorResolution = 3200x1728 AND Domain = tencentcom","Oddspediacom","MonitorResolution","3200x1728","Domain","tencent.com"
"Validate","0182 BOT RULE: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML,  like Gecko) Chrome/120000 Safari/53736 AND MonitorResolution = 2560 x 1440","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","MonitorResolution","2560 x 1440"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_02: Oddspediacom - Domain = invermaecom","Oddspediacom","Domain","invermae.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_03: Oddspediacom - Domain = x-cityua","Oddspediacom","Domain","x-city.ua","",""
"Validate","0183 BOT RULE: Oddspediacom - Domain = zappiehostcom AND Monitor Resolution = 1920 x 1080","Oddspediacom","Domain","zappiehost.com","Monitor Resolution","1920 x 1080"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_04: Oddspediacom - Domain = zappiehostcom","Oddspediacom","Domain","zappiehost.com","",""
"Validate","0184 BOT RULE: Oddspediacom - UserAgent = Mozilla/50 (X11; Linux x86_64) AppleWebKit/53736 (KHTML, like Gecko) HeadlessChrome/1200609928 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/120.0.6099.28 Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_05: Oddspediacom - Domain = hosted-by-worldstreamnet","Oddspediacom","Domain","hosted-by-worldstream.net","",""
"Validate","0185 BOT RULE: Oddspediacom - Domain = hostoffnet","Oddspediacom","Domain","hostoff.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_06: Oddspediacom - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605115 (KHTML,  like Gecko) Version/1566 Mobile/15E148 Safari/6041 AND Region = Vaud (Switzerland)","Oddspediacom","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1","Region","Vaud (Switzerland)"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_07: Oddspediacom - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605115 (KHTML,  like Gecko) Version/1566 Mobile/15E148 Safari/6041 AND Region = Zurich (Switzerland)","Oddspediacom","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1","Region","Zurich (Switzerland)"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_08: Oddspediacom - Domain = telemachba","Oddspediacom","Domain","telemach.ba","",""
"Validate","0186 BOT RULE: Oddspediacom - Domain = comvn AND MonitorResolution = 1920 x 1200","Oddspediacom","Domain","com.vn","MonitorResolution","1920 x 1200"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_09: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/121000 Safari/53736 AND Domain = rdsnetro","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Domain","rdsnet.ro"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundTwo_10: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/121000 Safari/53736 AND MonitorResolution = 3200 x 1440","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","MonitorResolution","3200 x 1440"
"Validate","0187 BOT RULE: Oddspediacom - Domain = khoangsanankhanhvn","Oddspediacom","Domain","khoangsanankhanh.vn","",""
