DimSegmentId,botRuleName,reportToIgnore
s3938_695822a94126b825f37988a4,BOTCOMPARE_FebMay25RoundFour_01SportsBookReviewcom-Domain=hwclouds-dnscom,Domain
s3938_695822aa62fb9877ebbaefa3,BOTCOMPARE_FebMay25RoundFour_02coverscom-BrowserType=MozillaANDOperatingSystem=Linux,BrowserType
s3938_695822ac62fb9877ebbaefa5,BOTCOMPARE_FebMay25RoundFour_03SportsBookReviewcom-MonitorResolution=1366x768ANDOperatingSystem=Linux,MonitorResolution
s3938_695822ad4126b825f37988a5,BOTCOMPARE_FebMay25RoundFour_04MoneyPillar-Domain=amazonawscomANDMonitorResolution=1920x1080,Domain
s3938_695822ae45508d621783cb3f,BOTCOMPARE_FebMay25RoundFour_05MoneyPillar-Domain=amazonawscomANDMonitorResolution=320x480,Domain
s3938_695822af45508d621783cb40,BOTCOMPARE_FebMay25RoundFour_06MoneyPillar-Domain=amazonawscomANDOperatingSystem=iOS111,Domain
s3938_695822af62fb9877ebbaefa6,BOTCOMPARE_FebMay25RoundFour_07MoneyPillar-Domain=amazonawscomANDOperatingSystem=OSX1015,Domain
s3938_695822b54126b825f37988a6,"BOTCOMPARE_FebMay25RoundFour_08MoneyPillar-Domain=amazonawscomANDUserAgent=Mozilla50(iPhone;CPUiPhoneOS11_1likeMacOSX)AppleWebKit60435(KHTML,likeGecko)Version110Mobile15B93Safari6041",Domain
s3938_695822b662fb9877ebbaefa7,BOTCOMPARE_FebMay25RoundFour_09MoneyPillar-Domain=amazonawscomANDUserAgent=Mozilla50(Macintosh;IntelMacOSX1015;rv800)Gecko20100101Firefox800,Domain
s3938_695822b74126b825f37988a7,"BOTCOMPARE_FebMay25RoundFour_10MoneyPillar-UserAgent=Mozilla50(iPhone;CPUiPhoneOS16_6likeMacOSX)AppleWebKit605115(KHTML,likeGecko)Version166Mobile15E148Safari6041ANDUserAgent=Mozilla50(Macintosh;IntelMacOSX1015;rv800)Gecko20100101Firefox801",UserAgent
s3938_695822b762fb9877ebbaefa8,"BOTCOMPARE_FebMay25RoundFour_11MoneyPillar-UserAgent=Mozilla50(iPhone;CPUiPhoneOS17_5likeMacOSX)AppleWebKit605115(KHTML,likeGecko)Version175Mobile15E148Safari6041ANDUserAgent=Mozilla50(Macintosh;IntelMacOSX1015;rv800)Gecko20100101Firefox802",UserAgent
