DimSegmentId,botRuleName,reportToIgnore
s3938_6977eacd71b7381b8d9a4f5f,BOTCOMPARE_AdHocOddspediaDec25RoundSix_01OddspediacomDom=hwcloudsdnscomANDOS=OSX10157,Domain
s3938_6977eaced666c66937e74573,BOTCOMPARE_AdHocOddspediaDec25RoundSix_02OddspediacomOS=OSX10157ANDMonRes=1024x1728,OperatingSystem
s3938_6977eace71b7381b8d9a4f60,BOTCOMPARE_AdHocOddspediaDec25RoundSix_03OddspediacomOS=OSX10157ANDMonRes=1280x1024,OperatingSystem
s3938_6977ead00bd61948cd6516b6,BOTCOMPARE_AdHocOddspediaDec25RoundSix_04OddspediacomOS=OSX10157ANDReg=Sibiu(Romania),OperatingSystem
s3938_6977ead1d666c66937e74575,BOTCOMPARE_AdHocOddspediaDec25RoundSix_05LegendDomain=amanecercomve,Domain
s3938_6977ead271b7381b8d9a4f61,BOTCOMPARE_AdHocOddspediaDec25RoundSix_06LegendDomain=arcoripnet,Domain
s3938_6977ead3d666c66937e74576,BOTCOMPARE_AdHocOddspediaDec25RoundSix_07LegendDomain=atlantechnet,Domain
s3938_6977ead30bd61948cd6516b7,BOTCOMPARE_AdHocOddspediaDec25RoundSix_08LegendDomain=cableworldes,Domain
s3938_6977ead7d666c66937e74577,BOTCOMPARE_AdHocOddspediaDec25RoundSix_09LegendDomain=consolidatedcom,Domain
s3938_6977ead80bd61948cd6516b8,BOTCOMPARE_AdHocOddspediaDec25RoundSix_10LegendDomain=jdimaxcom,Domain
s3938_6977ead80bd61948cd6516b9,BOTCOMPARE_AdHocOddspediaDec25RoundSix_11LegendDomain=metronetincnet,Domain
s3938_6977ead9d666c66937e74578,BOTCOMPARE_AdHocOddspediaDec25RoundSix_12LegendDomain=novispt,Domain
s3938_6977eada0bd61948cd6516ba,BOTCOMPARE_AdHocOddspediaDec25RoundSix_13LegendDomain=wideopenwestcom,Domain
s3938_6977eae10bd61948cd6516bd,BOTCOMPARE_AdHocOddspediaDec25RoundSix_14LegendDomain=huaweicom,Domain
s3938_6977eae20bd61948cd6516be,BOTCOMPARE_AdHocOddspediaDec25RoundSix_15LegendDomain=relcomcom,Domain
