DimSegmentId,botRuleName,reportToIgnore
s3938_695d008645508d621783d5e0,BOTCOMPARE_AdHoc-Oddspedia-Dec25_01Oddspediacom-UserAgent,UserAgent
s3938_695d008745508d621783d5e1,BOTCOMPARE_AdHoc-Oddspedia-Dec25_02Oddspediacom-MobileManufacturer=LeEco,MobileManufacturer
s3938_695d008862fb9877ebbaf9ec,BOTCOMPARE_AdHoc-Oddspedia-Dec25_03Oddspediacom-Domain=angolatelecomao,Domain
s3938_695d008962fb9877ebbaf9ed,BOTCOMPARE_AdHoc-Oddspedia-Dec25_04Oddspediacom-MonitorResolution=3200x1728,MonitorResolution
s3938_695d008a45508d621783d5e2,BOTCOMPARE_AdHoc-Oddspedia-Dec25_05Oddspediacom-UserAgent,UserAgent
s3938_695d008b4126b825f3799305,BOTCOMPARE_AdHoc-Oddspedia-Dec25_06Oddspediacom-UserAgent,UserAgent
s3938_695d008b4126b825f3799306,BOTCOMPARE_AdHoc-Oddspedia-Dec25_07Oddspediacom-MonitorResolution=2560x1440,MonitorResolution
s3938_695d008c45508d621783d5e3,BOTCOMPARE_AdHoc-Oddspedia-Dec25_08Oddspediacom-Domain=zappiehostcom,Domain
s3938_695d008d4126b825f3799307,BOTCOMPARE_AdHoc-Oddspedia-Dec25_09Oddspediacom-UserAgent,UserAgent
s3938_695d00934126b825f3799308,BOTCOMPARE_AdHoc-Oddspedia-Dec25_10Oddspediacom-Domain=hosted-by-worldstreamnet,Domain
s3938_695d009362fb9877ebbaf9ee,BOTCOMPARE_AdHoc-Oddspedia-Dec25_11Oddspediacom-Domain=hostoffnet,Domain
s3938_695d009445508d621783d5e4,BOTCOMPARE_AdHoc-Oddspedia-Dec25_12Oddspediacom-UserAgent,UserAgent
s3938_695d009545508d621783d5e5,BOTCOMPARE_AdHoc-Oddspedia-Dec25_13Oddspediacom-MonitorResolution=1920x1200,MonitorResolution
s3938_695d009645508d621783d5e6,BOTCOMPARE_AdHoc-Oddspedia-Dec25_14Oddspediacom-Domain=comvn,Domain
s3938_695d00974126b825f3799309,BOTCOMPARE_AdHoc-Oddspedia-Dec25_15Oddspediacom-UserAgent,UserAgent
s3938_695d00984126b825f379930a,BOTCOMPARE_AdHoc-Oddspedia-Dec25_16Oddspediacom-Domain=khoangsanankhanhvn,Domain
s3938_695d00994126b825f379930b,BOTCOMPARE_AdHoc-Oddspedia-Dec25_17Oddspediacom-UserAgent,UserAgent
