dimSegmentId,botRuleName
s3938_6945485b4126b825f3796c77,0139-Bot-Rule-GuruMain-Domain-ws-sdnnet
s3938_694548764126b825f3796c78,0140-Bot-Rule-GuruMain-Domain-telecombusinessformenet
s3938_694548d945508d621783af31,0141-Bot-Rule-GuruIT-Domain-web2objectsde
s3938_694548f362fb9877ebbad38c,0142-Bot-Rule-GuruMain-Domain-pinterestcrawlercom
s3938_6945492045508d621783af36,0143-Bot-Rule-Oddspediacom-Domain-vpsac
s3938_6945498f62fb9877ebbad390,0144-Bot-Rule-Oddspediacom-Domain-gestionca1com
s3938_694549ba62fb9877ebbad391,0145-Bot-Rule-coverscom-Domain-corecom
s3938_694549dc4126b825f3796c81,0146-Bot-Rule-coverscom-Domain-adnexusnet
s3938_69454a114126b825f3796c82,0147-Bot-Rule-GuruMain-Domain-liauwmedia
s3938_69454a5f4126b825f3796c83,0148-Bot-Rule-coverscom-Domain-themediatrustcom
s3938_69454a7245508d621783af3b,0149-Bot-Rule-MoneyPillar-Domain-upcloudhost
s3938_69454b9362fb9877ebbad39b,0150-Bot-Rule-SportsBookReviewcom-Domain-hwclouds-dnscom
s3938_69455409347b1f4a2a19da23,0151-Bot-Rule-MoneyPillar-Domain-ramnodecom
s3938_69455439dcd11c4a87500cc7,0152-Bot-Rule-MoneyPillar-Domain-atlanticnet
s3938_6945545142b33f386318e597,0153-Bot-Rule-MoneyPillar-Domain-cloudzycom
s3938_69455469347b1f4a2a19da24,0154-Bot-Rule-Oddspediacom-Domain-pbiaascom
s3938_6945548042b33f386318e59a,0155-Bot-Rule-MoneyPillar-Domain-midphasecom
s3938_694554af347b1f4a2a19da26,0156-Bot-Rule-coverscom-Domain-1e100net
