DimSegmentId,botRuleName,reportToIgnore
s3938_694a684845508d621783b822,0158BOTRULE_OnlineBettingcom_OperatingSystem-Android160ANDDomain-yourserverde,OperatingSystem
s3938_694a68484126b825f3797549,0159BOTRULE_Cardschat-com_UserAgentANDMonitorResolution-432x736,UserAgent
s3938_694a684962fb9877ebbadc31,0160BOTRULE_Cardschat-com_UserAgentANDMonitorResolution-800x600,UserAgent
s3938_694a684a4126b825f379754b,0161BOTRULE_Cardschatcom_Domain-amazonawscomANDBrowserType-Yandex,Domain
s3938_694a684b4126b825f379754c,0162BOTRULE_MoneyPillar_Domain-amazonawscomANDMonitorResolution-320x200,Domain
s3938_694a684b45508d621783b823,0163BOTRULE_coverscom_MonitorResolution-1280x1280,MonitorResolution
s3938_694a684c62fb9877ebbadc32,0164BOTRULE_coverscom_Domain-amazonawscomANDMonitorResolution-800x600,Domain
s3938_694a684c62fb9877ebbadc33,0165BOTRULE_MoneyPillar_Domain-amazonawscomANDOperatingSystem-ChromeOS11700,Domain
s3938_694a684d62fb9877ebbadc34,0166BOTRULE_GuruOther_Domain-amazonawscomANDOperatingSystem-ChromeOS9404606,Domain
s3938_694a684d4126b825f379754d,0167BOTRULE_MoneyPillar_Domain-amazonawscomANDOperatingSystem-iOS111,Domain
s3938_694a684e62fb9877ebbadc35,0168BOTRULE_MoneyPillar_Domain-amazonawscomANDOperatingSystem-iOS1323,Domain
s3938_694a684e4126b825f379754e,0169BOTRULE_Coverscom_Domain-amazonawscomANDOperatingSystem-Linux,Domain
s3938_694a685262fb9877ebbadc39,0170BOTRULE_Cardschatcom_Domain-amazonawscomANDUserAgent,Domain
s3938_694a685345508d621783b825,0171BOTRULE_Casinoat_Domain-amazonawscomANDUserAgent,Domain
