DimSegmentId,botRuleName,reportToIgnore
s3938_6977eacfd666c66937e74574,0211BOTRULEOperatingSystem-OSX10157ANDMonitorResolution-1280x1366,OperatingSystem
s3938_6977eadb71b7381b8d9a4f62,0212BOTRULELegendOperatingSystem-OSX10121ANDMonitorResolution-1366x768,OperatingSystem
s3938_6977eadf0bd61948cd6516bb,0213BOTRULELegendOperatingSystem-OSX10145ANDMonitorResolution-1366x768,OperatingSystem
s3938_6977eae00bd61948cd6516bc,0214BOTRULELegendMonitorResolution-1280x1366ANDDomain-zenlayercom,MonitorResolution
s3938_6977eae3d666c66937e74579,0215BOTRULEOddspediacomMonitorResolution-1280x1200ANDBrowserType-Google,MonitorResolution
s3938_6977eae30bd61948cd6516bf,0216BOTRULEOddspediacomMonitorResolution-1280x1366ANDBrowserType-Google,MonitorResolution
s3938_6977eae4d666c66937e7457a,0217BOTRULEOddspediacomMonitorResolution-3200x1440ANDDomain-rdsnetro,MonitorResolution
s3938_6977eae571b7381b8d9a4f63,0218BOTRULEOddspediacomMonitorResolution-1920x1080ANDDomain-rdsnetro,MonitorResolution
s3938_6977eae90bd61948cd6516c0,0219BOTRULEOddspediacomMonitorResolution-3200x1440ANDDomain-rcsrdsro,MonitorResolution
s3938_6977eaea0bd61948cd6516c1,0220BOTRULEOddspediacomMonitorResolution-1920x1080ANDDomain-rcsrdsro,MonitorResolution
s3938_6977eaeb71b7381b8d9a4f64,0221BOTRULELegendMonitorResolution-360x667ANDMarketingChannel-Internal,MonitorResolution
s3938_6977eaecd666c66937e7457b,0222BOTRULELegendMonitorResolution-390x736ANDMarketingChannel-Internal,MonitorResolution
s3938_6977eaedd666c66937e7457c,0223BOTRULELegendMonitorResolution-400x600ANDMarketingChannel-Internal,MonitorResolution
s3938_6977eaed0bd61948cd6516c2,0224BOTRULELegendMonitorResolution-432x667ANDMarketingChannel-Internal,MonitorResolution
s3938_6977eaee0bd61948cd6516c3,0225BOTRULELegendUserAgent,UserAgent
s3938_6977eaef0bd61948cd6516c4,0226BOTRULEGuruMainDomain-drakonhostcom,Domain
s3938_6977eaf0d666c66937e7457d,0227BOTRULELegendOperatingSystem-OSX10121,OperatingSystem
s3938_6977eaf171b7381b8d9a4f65,0228BOTRULELegendOperatingSystem-OSX10145,OperatingSystem
s3938_6977eaf20bd61948cd6516c5,0229BOTRULELegendDomain-fastplanetcom,Domain
s3938_6977eaf50bd61948cd6516c6,0230BOTRULELegendDomain-hostingtelephonecom,Domain
s3938_6977eaf671b7381b8d9a4f66,0231BOTRULEcoverscomDomain-netassistuaANDBrowserType-Apple,Domain
s3938_6977eaf7d666c66937e7457e,0232BOTRULELegendOperatingSystem-macOS130,OperatingSystem
