DimSegmentId,botRuleName,reportToIgnore
s3938_695e43ffd666c66937e6daab,0174BOTRULE_Oddspediacom_Domain-angolatelecomaoANDMonitorResolution-600x800,Domain
s3938_695e4400dd204131a3743430,0175BOTRULE_Oddspediacom_Domain-angolatelecomaoANDOperatingSystem-iOS166,Domain
s3938_695e440049400d7802c8aa42,0176BOTRULE_Oddspediacom_Domain-angolatelecomaoANDOperatingSystem-OSX10120,Domain
s3938_695e440149400d7802c8aa43,0177BOTRULE_Oddspediacom_Domain-angolatelecomaoANDOperatingSystem-OSX10130,Domain
s3938_695e4402d666c66937e6daac,0178BOTRULE_Oddspediacom_Domain-angolatelecomaoANDOperatingSystem-OSX10140,Domain
s3938_695e440349400d7802c8aa44,0179BOTRULE_Oddspediacom_MonitorResolution-3200x1728ANDUserAgent,MonitorResolution
s3938_695e4404dd204131a3743431,0180BOTRULE_Oddspediacom_MonitorResolution-3200x1728ANDUserAgent,MonitorResolution
s3938_695e440add204131a3743432,0181BOTRULE_Oddspediacom_MonitorResolution-3200x1728ANDDomain-tencentcom,MonitorResolution
s3938_695e440bdd204131a3743433,0182BOTRULE_Oddspediacom_UserAgent,UserAgent
s3938_695e440d49400d7802c8aa46,0183BOTRULE_Oddspediacom_Domain-zappiehostcomANDMonitorResolution-1920x1080,Domain
s3938_695e440fd666c66937e6daaf,0184BOTRULE_Oddspediacom_UserAgent,UserAgent
s3938_695e4413dd204131a3743436,0185BOTRULE_Oddspediacom_Domain-hostoffnet,Domain
s3938_695e441649400d7802c8aa4a,0186BOTRULE_Oddspediacom_Domain-comvnANDMonitorResolution-1920x1200,Domain
s3938_695e441b49400d7802c8aa4b,0187BOTRULE_Oddspediacom_Domain-khoangsanankhanhvn,Domain
