"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Compare","BOTCOMPARE_FebMay25RoundFour_01: SportsBookReviewcom - Domain = hwclouds-dnscom","SportsBookReviewcom","Domain","hwclouds-dns.com","",""
"Validate - Special","0172 BOT RULE: coverscom - Domain = amazonawscom AND BrowserType = Mozilla AND OperatingSystem = Linux","coverscom","Domain","amazonaws.com AND BrowserType = Mozilla","OperatingSystem","Linux"
"Compare","BOTCOMPARE_FebMay25RoundFour_02: coverscom - BrowserType = Mozilla AND OperatingSystem = Linux","coverscom","BrowserType","Mozilla","OperatingSystem","Linux"
"Validate","0172 BOT RULE: coverscom - Domain = uni-saarlandde AND OperatingSystem = Linux","coverscom","Domain","uni-saarland.de","OperatingSystem","Linux"
"Compare","BOTCOMPARE_FebMay25RoundFour_03: SportsBookReviewcom - MonitorResolution = 1366 x 768 AND OperatingSystem = Linux","SportsBookReviewcom","MonitorResolution","1366 x 768","OperatingSystem","Linux"
"Compare","BOTCOMPARE_FebMay25RoundFour_04: MoneyPillar - Domain = amazonawscom AND MonitorResolution = 1920 x 1080","MoneyPillar","Domain","amazonaws.com","MonitorResolution","1920 x 1080"
"Compare","BOTCOMPARE_FebMay25RoundFour_05: MoneyPillar - Domain = amazonawscom AND MonitorResolution = 320 x 480","MoneyPillar","Domain","amazonaws.com","MonitorResolution","320 x 480"
"Compare","BOTCOMPARE_FebMay25RoundFour_06: MoneyPillar - Domain = amazonawscom AND OperatingSystem = iOS 111","MoneyPillar","Domain","amazonaws.com","OperatingSystem","iOS 11.1"
"Compare","BOTCOMPARE_FebMay25RoundFour_07: MoneyPillar - Domain = amazonawscom AND OperatingSystem = OS X 1015","MoneyPillar","Domain","amazonaws.com","OperatingSystem","OS X 10.15"
"Compare","BOTCOMPARE_FebMay25RoundFour_08: MoneyPillar - Domain = amazonawscom AND UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 11_1 like Mac OS X) AppleWebKit/60435 (KHTML, like Gecko) Version/110 Mobile/15B93 Safari/6041","MoneyPillar","Domain","amazonaws.com","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 11_1 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B93 Safari/604.1"
"Compare","BOTCOMPARE_FebMay25RoundFour_09: MoneyPillar - Domain = amazonawscom AND UserAgent = Mozilla/50 (Macintosh; Intel Mac OS X 1015; rv:800) Gecko/20100101 Firefox/800","MoneyPillar","Domain","amazonaws.com","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
"Compare","BOTCOMPARE_FebMay25RoundFour_10: MoneyPillar - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605115 (KHTML, like Gecko) Version/166 Mobile/15E148 Safari/6041 AND UserAgent = Mozilla/50 (Macintosh; Intel Mac OS X 1015; rv:800) Gecko/20100101 Firefox/801","MoneyPillar","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.1"
"Compare","BOTCOMPARE_FebMay25RoundFour_11: MoneyPillar - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605115 (KHTML, like Gecko) Version/175 Mobile/15E148 Safari/6041 AND UserAgent = Mozilla/50 (Macintosh; Intel Mac OS X 1015; rv:800) Gecko/20100101 Firefox/802","MoneyPillar","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.2"
