"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Validate","0195 BOT RULE: Oddspediacom - Domain = hwclouds-dnscom AND BrowserType = Mozilla","Oddspediacom","Domain","hwclouds-dns.com","BrowserType","Mozilla"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_01: Oddspediacom - MonitorResolution = 1280 x 1200","Oddspediacom","MonitorResolution","1280 x 1200","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_02: Oddspediacom - MonitorResolution = 1280 x 1366","Oddspediacom","MonitorResolution","1280 x 1366","",""
"Validate","0196 BOT RULE: Oddspediacom - Domain = hwclouds-dnscom AND OperatingSystem = Linux","Oddspediacom","Domain","hwclouds-dns.com","OperatingSystem","Linux"
"Validate","0197 BOT RULE: Legend - Domain = amazonawscomcn","Legend","Domain","amazonaws.com.cn","",""
"Validate","0198 BOT RULE: Legend - Domain = clinicaoncocom","Legend","Domain","clinicaonco.com","",""
"Validate","0199 BOT RULE: Legend - Domain = explorationinsuranceorguk","Legend","Domain","explorationinsurance.org.uk","",""
"Validate","0200 BOT RULE: Legend - Domain = huaweicom","Legend","Domain","huawei.com","",""
"Validate","0201 BOT RULE: Legend - Domain = ip-xfernet","Legend","Domain","ip-xfer.net","",""
"Validate","0202 BOT RULE: Legend - Domain = relcomcom","Legend","Domain","relcom.com","",""
"Validate","0203 BOT RULE: Legend - Domain = smhrocks","Legend","Domain","smh.rocks","",""
"Validate","0204 BOT RULE: Legend - Domain = thacdev","Legend","Domain","thac.dev","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_03: Legend - Domain = west-datacenternet","Legend","Domain","west-datacenter.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_04: Legend - MonitorResolution = 1280 x 1366","Legend","MonitorResolution","1280 x 1366","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_05: Oddspediacom - Region = Sibiu (Romania)","Oddspediacom","Region","Sibiu (Romania)","",""
"Validate","0205 BOT RULE: Legend - Domain = hubflakero","Legend","Domain","hubflake.ro","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_06: Legend - MonitorResolution = 360 x 667 AND MarketingChannel = Internal","Legend","MonitorResolution","360 x 667","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_07: Legend - MonitorResolution = 390 x 736 AND MarketingChannel = Internal","Legend","MonitorResolution","390 x 736","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_08: Legend - MonitorResolution = 400 x 600 AND MarketingChannel = Internal","Legend","MonitorResolution","400 x 600","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_09: Legend - MonitorResolution = 432 x 667 AND MarketingChannel = Internal","Legend","MonitorResolution","432 x 667","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_10: Legend - OperatingSystem = Chrome OS 13000 AND MarketingChannel = Internal","Legend","OperatingSystem","Chrome OS 130.0.0","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_11: Legend - Region = Ilhas De Sotavento (Cape Verde) AND MarketingChannel = Internal","Legend","Region","Ilhas De Sotavento (Cape Verde)","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_12: Legend - UserAgent = Mozilla/50 (X11; CrOS x86_64 1454100) AppleWebKit/53736 (KHTML, like Gecko) Chrome/130000 Safari/53736 AND MarketingChannel = Internal","Legend","UserAgent","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","MarketingChannel","Internal"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_13: MarcadoresOnlinecom - Domain = 85-avateles","MarcadoresOnlinecom","Domain","85-avatel.es","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_14: GuruMain - Domain = drakonhostcom","GuruMain","Domain","drakonhost.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_15: Legend - OperatingSystem = OS X 10121","Legend","OperatingSystem","OS X 10.12.1","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_16: Legend - OperatingSystem = OS X 10145","Legend","OperatingSystem","OS X 10.14.5","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_17: Oddspediacom - Region = English River (Seychelles) AND MonitorResolution = 1366 x 768","Oddspediacom","Region","English River (Seychelles)","MonitorResolution","1366 x 768"
"Validate","0206 BOT RULE: MarcadoresOnlinecom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/990484451 Safari/53736 Edg/990115030","MarcadoresOnlinecom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30","",""
"Validate","0207 BOT RULE: Oddspediacom - PageURL = https://oddspediacom/it/blocked-odds AND MonitorResolution = 1366 x 768","Oddspediacom","PageURL","https://oddspedia.com/it/blocked-odds","MonitorResolution","1366 x 768"
"Validate","0208 BOT RULE: Legend - UserAgent = Mozilla/50 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/53736 (KHTML, like Gecko) Chrome/134000 Safari/53736 AND Domain = zenlayercom","Legend","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","Domain","zenlayer.com"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_18: Legend - Domain = fastplanetcom","Legend","Domain","fastplanet.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_19: Legend - Domain = hostingtelephonecom","Legend","Domain","hostingtelephone.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_20: Legend - Domain = netassistua","Legend","Domain","netassist.ua","",""
"Validate","0209 BOT RULE: Legend - Referring Domain = bingcom AND MonitorResolution = 768 x 360","Legend","Referring Domain","bing.com","MonitorResolution","768 x 360"
"Validate","0210 BOT RULE: Legend - Referring Domain = bingcom AND MonitorResolution = 800 x 390","Legend","Referring Domain","bing.com","MonitorResolution","800 x 390"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_21: Legend - OperatingSystem = macOS 130","Legend","OperatingSystem","macOS 13.0","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundFive_22: Onlinecasinosca - Referring Domain = bingcom AND Region = Wyoming (United States)","OnlineCasinosca","Referring Domain","bing.com","Region","Wyoming (United States)"
