"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_01: Oddspediacom - Domain = hwclouds-dnscom AND OperatingSystem = OS X 10157","Oddspediacom","Domain","hwclouds-dns.com","OperatingSystem","OS X 10.15.7"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_02: Oddspediacom - OperatingSystem = OS X 10157 AND MonitorResolution = 1024 x 1728","Oddspediacom","OperatingSystem","OS X 10.15.7","MonitorResolution","1024 x 1728"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_03: Oddspediacom - OperatingSystem = OS X 10157 AND MonitorResolution = 1280 x 1024","Oddspediacom","OperatingSystem","OS X 10.15.7","MonitorResolution","1280 x 1024"
"Validate","0211 BOT RULE:  - OperatingSystem = OS X 10157 AND MonitorResolution = 1280 x 1366","Legend","OperatingSystem","OS X 10.15.7","MonitorResolution","1280 x 1366"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_04: Oddspediacom - OperatingSystem = OS X 10157 AND Region = Sibiu (Romania)","Oddspediacom","OperatingSystem","OS X 10.15.7","Region","Sibiu (Romania)"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_05: Legend - Domain = amanecercomve","Legend","Domain","amanecer.com.ve","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_06: Legend - Domain = arcor-ipnet","Legend","Domain","arcor-ip.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_07: Legend - Domain = atlantechnet","Legend","Domain","atlantech.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_08: Legend - Domain = cableworldes","Legend","Domain","cableworld.es","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_09: Legend - Domain = consolidatedcom","Legend","Domain","consolidated.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_10: Legend - Domain = jdimaxcom","Legend","Domain","jdimax.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_11: Legend - Domain = metronetincnet","Legend","Domain","metronetinc.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_12: Legend - Domain = novispt","Legend","Domain","novis.pt","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_13: Legend - Domain = wideopenwestcom","Legend","Domain","wideopenwest.com","",""
"Validate","0212 BOT RULE: Legend - OperatingSystem = OS X 10121 AND MonitorResolution = 1366 x 768","Legend","OperatingSystem","OS X 10.12.1","MonitorResolution","1366 x 768"
"Validate","0213 BOT RULE: Legend - OperatingSystem = OS X 10145 AND MonitorResolution = 1366 x 768","Legend","OperatingSystem","OS X 10.14.5","MonitorResolution","1366 x 768"
"Validate","0214 BOT RULE: Legend - MonitorResolution = 1280 x 1366 AND Domain = zenlayercom","Legend","MonitorResolution","1280 x 1366","Domain","zenlayer.com"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_14: Legend - Domain = huaweicom","Legend","Domain","huawei.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25-RoundSix_15: Legend - Domain = relcomcom","Legend","Domain","relcom.com","",""
"Validate","0215 BOT RULE: Oddspediacom - MonitorResolution = 1280 x 1200 AND BrowserType = Google","Oddspediacom","MonitorResolution","1280 x 1200","BrowserType","Google"
"Validate","0216 BOT RULE: Oddspediacom - MonitorResolution = 1280 x 1366 AND BrowserType = Google","Oddspediacom","MonitorResolution","1280 x 1366","BrowserType","Google"
"Validate","0217 BOT RULE: Oddspediacom - MonitorResolution = 3200x1440 AND Domain = rdsnetro","Oddspediacom","MonitorResolution","3200x1440","Domain","rdsnet.ro"
"Validate","0218 BOT RULE: Oddspediacom - MonitorResolution = 1920x1080 AND Domain = rdsnetro","Oddspediacom","MonitorResolution","1920x1080","Domain","rdsnet.ro"
"Validate","0219 BOT RULE: Oddspediacom - MonitorResolution = 3200x1440 AND Domain = rcs-rdsro","Oddspediacom","MonitorResolution","3200x1440","Domain","rcs-rds.ro"
"Validate","0220 BOT RULE: Oddspediacom - MonitorResolution = 1920x1080 AND Domain = rcs-rdsro","Oddspediacom","MonitorResolution","1920x1080","Domain","rcs-rds.ro"
"Validate","0221 BOT RULE: Legend - MonitorResolution = 360 x 667 AND MarketingChannel = Internal","Legend","MonitorResolution","360 x 667","MarketingChannel","Internal"
"Validate","0222 BOT RULE: Legend - MonitorResolution = 390 x 736 AND MarketingChannel = Internal","Legend","MonitorResolution","390 x 736","MarketingChannel","Internal"
"Validate","0223 BOT RULE: Legend - MonitorResolution = 400 x 600 AND MarketingChannel = Internal","Legend","MonitorResolution","400 x 600","MarketingChannel","Internal"
"Validate","0224 BOT RULE: Legend - MonitorResolution = 432 x 667 AND MarketingChannel = Internal","Legend","MonitorResolution","432 x 667","MarketingChannel","Internal"
"Validate","0225 BOT RULE: Legend - UserAgent = Mozilla/50 (X11; CrOS x86_64 1454100) AppleWebKit/53736 (KHTML, like Gecko) Chrome/130000 Safari/53736 AND MarketingChannel = Internal","Legend","UserAgent","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","MarketingChannel","Internal"
"Validate","0226 BOT RULE: GuruMain - Domain = drakonhostcom","GuruMain","Domain","drakonhost.com","",""
"Validate","0227 BOT RULE: Legend - OperatingSystem = OS X 10121","Legend","OperatingSystem","OS X 10.12.1","",""
"Validate","0228 BOT RULE: Legend - OperatingSystem = OS X 10145","Legend","OperatingSystem","OS X 10.14.5","",""
"Validate","0229 BOT RULE: Legend - Domain = fastplanetcom","Legend","Domain","fastplanet.com","",""
"Validate","0230 BOT RULE: Legend - Domain = hostingtelephonecom","Legend","Domain","hostingtelephone.com","",""
"Validate","0231 BOT RULE: coverscom - Domain = netassistua AND BrowserType = Apple","coverscom","Domain","netassist.ua","BrowserType","Apple"
"Validate","0232 BOT RULE: Legend - OperatingSystem = macOS 130","Legend","OperatingSystem","macOS 13.0","",""
