/**
 * Lookup Table for variables/monitorresolution
 * 
 * Maps string values to their numeric IDs for use in Adobe Analytics segments.
 * 
 * Client: Legend
 * Last Updated: 2025-12-23
 * 
 * Format: stringValue|numericId
 */

1024 x 1024|73
1024 x 1200|103
1024 x 1280|101
1024 x 1366|203
1024 x 1440|204
1024 x 1536|45
1024 x 1728|91
1024 x 200|79
1024 x 320|489
1024 x 360|491
1024 x 375|492
1024 x 390|490
1024 x 400|60
1024 x 414|494
1024 x 432|495
1024 x 480|9
1024 x 533|496
1024 x 568|497
1024 x 600|24
1024 x 640|498
1024 x 667|499
1024 x 690|500
1024 x 720|502
1024 x 736|501
1024 x 768|10
1024 x 800|54
1024 x 864|49
1024 x 960|503
1152 x ???|132
1152 x 1024|40
1152 x 1200|69
1152 x 1280|139
1152 x 1366|519
1152 x 1440|520
1152 x 1536|94
1152 x 1728|12
1152 x 200|164
1152 x 320|504
1152 x 360|506
1152 x 375|507
1152 x 400|174
1152 x 414|509
1152 x 480|170
1152 x 533|511
1152 x 568|512
1152 x 600|123
1152 x 640|513
1152 x 667|514
1152 x 690|515
1152 x 720|517
1152 x 736|516
1152 x 768|37
1152 x 800|25
1152 x 864|11
1152 x 960|518
1280 x 1024|13
1280 x 1200|59
1280 x 1280|108
1280 x 1366|535
1280 x 1440|536
1280 x 1536|112
1280 x 1728|78
1280 x 200|147
1280 x 240|163
1280 x 360|523
1280 x 432|527
1280 x 533|528
1280 x 568|529
1280 x 600|135
1280 x 640|530
1280 x 667|531
1280 x 690|532
1280 x 720|218
1280 x 736|533
1280 x 768|48
1280 x 800|71
1280 x 864|44
1280 x 960|534
1366 x 1024|215
1366 x 690|634
1366 x 720|636
1366 x 736|635
1366 x 768|185
1366 x 960|637
1400 x 1024|178
1400 x 1050|177
1400 x 1200|182
1400 x 1280|183
1400 x 1366|538
1400 x 864|181
1400 x 960|537
1440 x 1024|217
1440 x 1050|389
1440 x 1200|390
1440 x 1280|391
1440 x 1366|824
1440 x 1440|832
1440 x 1536|400
1440 x 1728|401
1440 x 240|394
1440 x 320|833
1440 x 533|826
1440 x 568|827
1440 x 600|397
1440 x 640|828
1440 x 667|829
1440 x 690|830
1440 x 720|839
1440 x 736|831
1440 x 768|398
1440 x 800|399
1440 x 864|388
1440 x 960|645
1600 x 1024|14
1600 x 1050|180
1600 x 1200|15
1600 x 1280|16
1600 x 1366|554
1600 x 1440|555
1600 x 1536|134
1600 x 1728|67
1600 x 533|546
1600 x 568|547
1600 x 600|33
1600 x 640|548
1600 x 667|549
1600 x 690|550
1600 x 720|552
1600 x 736|551
1600 x 768|82
1600 x 800|100
1600 x 864|70
1600 x 960|553
1680 x 1050|184
1920 x 1024|80
1920 x 1050|179
1920 x 1080|186
1920 x 1200|18
1920 x 1280|90
1920 x 1366|571
1920 x 1440|572
1920 x 1536|55
1920 x 1728|86
1920 x 480|84
1920 x 533|563
1920 x 568|564
1920 x 600|50
1920 x 640|565
1920 x 667|566
1920 x 690|567
1920 x 720|569
1920 x 736|568
1920 x 768|36
1920 x 800|115
1920 x 864|87
1920 x 960|570
2048 x 1024|20
2048 x 1200|72
2048 x 1280|121
2048 x 1366|588
